Agency Network,Agency,Agency Domain,Fossil Fuel Company
INDEPENDENT,¡Mg! Consultora,https://mgconsultora.com.ar/,Oiltanking Pampa Energy
INDEPENDENT,121 LATAM,https://121latam.com/,Repsol
INDEPENDENT,A.GR.Advisors,https://www.agradvisors.com/,"Beach Energy, Esso"
INDEPENDENT,Acacia Avenue,http://www.acacia-avenue.com,BP
INDEPENDENT,Adclick Africa,http://www.adclickafrica.com,Eskom
INDEPENDENT,Adoni Media,http://www.adonimedia.com.au,Glencore
INDEPENDENT,Advanced Outcomes,http://www.aomidmo.com,Tri-Star Petroleum
INDEPENDENT,Africa Creative,https://africacreativeagency.com/,"Petrobras, Vibra Energia"
INDEPENDENT,AJF Partnership,http://www.ajfpartnership.com.au,Engie
INDEPENDENT,Akestam Holst,http://www.akestamholst.se,Preem
WPP,AKQA,http://www.akqa.com,Saudi Aramco
INDEPENDENT,All About Brands,https://www.allaboutbrands.com/,ADNOC
INDEPENDENT,Anacta Strategies,https://www.anacta.com.au/,"Glencore, Southern Oil"
INDEPENDENT,APO Group,,"African Energy Chamber, Tanzania Energy Congress"
INDEPENDENT,Ardmore,http://www.ardmore.co.uk,Phoenix Gas (Centrica)
INDEPENDENT,Art Open,,PGNiG
INDEPENDENT,Aspect,http://www.aspectfilmandvideo.co.uk,"BP, CNOOC, Ithaca Energy"
INDEPENDENT,Atenas Comunica,https://atenacomunica.com.br/,Neoenergia
INDEPENDENT,Atmosphere Communications (Accenture Song),https://www.accenture.com/za-en/about/accenture-song-index,Thungela
INDEPENDENT,Atomic 212,https://atomic212.com.au/,"BHP, Origin Energy"
INDEPENDENT,Atomix,http://www.atomixlogistics.com,Santos
INDEPENDENT,Atomo Comunica,http://www.atomocom.com.br/,"Comgas, Petronas"
INDEPENDENT,Bailey Lauerman,http://www.baileylauerman.com,Phillips 66 (Kendal Motor Oil) (Concluded 2023)
INDEPENDENT,Barker Wentworth,http://www.barkerwentworth.com.au,Petro Diamond
WPP,Barton Deakin,https://bartondeakin.com/,Equinor
INDEPENDENT,Bastion Creative,http://www.bastionagency.com,Glencore
OMNICOM,BBDO,http://www.bbdo.com,"ExxonMobil, GALP"
OMNICOM,BBDO (BBDO Argentina),https://bbdo.com/,YPF
OMNICOM,BBDO (PUNCHDDBO),https://bbdo.com.tr/,Petro Ofisi
OMNICOM,BBDO (Sancho BBDO),https://www.sanchobbdo.com.co/,Organización Terpel
INDEPENDENT,BeatrootPineapple,https://beatrootpine.com/,EasiGas
INDEPENDENT,Benes & Michl,http://www.benes-michl.cz,CEZ Group
INDEPENDENT,Bespoke Approach,http://www.bespokeapproach.com,BHP
INDEPENDENT,Beyond Theory Creative,http://www.beyondtheory.us,Devon Energy
INDEPENDENT,Big Red,http://www.bigred.com,"AGL Energy, BHP, CMEWA"
INDEPENDENT,Blueprint Advertising,http://www.blueprintadagency.com,"Eskom, PetroSA, Shell"
INDEPENDENT,Blunt Strategies,https://www.bluntstrategies.com/,Cenovus
INDEPENDENT,Boomtown Agency,http://www.boomtown.agency,EasiGas
INDEPENDENT,Boopin,http://www.boopin.com,Abu Dhabi Future Energy Company (Masdar)
INDEPENDENT,Boye Spellerberg,http://www.boyespellerberg.dk,Andel Energi
INDEPENDENT,Brand Lounge,http://www.brandloungeme.com,ADNOC
WPP,Brandpie,http://www.brandpie.com,SLB
INDEPENDENT,Brevia Consulting,http://www.brevia.co.uk,"Engie, INA dd"
INDEPENDENT,Brivia,https://briviagroup.ca/en/,Petrobras
INDEPENDENT,Brother & Co,http://www.brotherandco.com,"Glencore, Santos"
INDEPENDENT,Brownstein Hyatt Farber Shreck,http://www.bhfs.com,American Petroleum Institute
INDEPENDENT,Brunswick Group,http://www.brunswickgroup.com,"BP, Saudi Aramco, Sinopec"
WPP,Burson Cohn & Wolfe,http://www.bcw-global.com," Abu Dhabi Future Energy Company (Madsar), Neste "
WPP,Burson Cohn & Wolfe (ASDA'A BCW),Burson Cohn & Wolfe (ASDA'A BCW)," Emirates National Oil Company (ENOC), GE Gas Power MENA, Saudi Aramco "
INDEPENDENT,Butcher & Gundersen,http://www.bgundersen.com,Texaco & Havoline
INDEPENDENT,ByDesign Communications,http://www.bdcomms.co.za,Anglo American
INDEPENDENT,Cahill and Bailey,,JERA
INDEPENDENT,Campaign Edge Sprout,http://www.campaignedgesprout.com.au,"ConocoPhillips, Glencore, Santos, South32"
Interpublic Group,Campbell Ewald,https://c-e.com/,Valero
INDEPENDENT,Canali&C,https://www.headshotagency.it/,JX Nippon Oil & Energy (Eneos Motor Oil)
WPP,Cannings Purple,http://www.canningspurple.com.au," Australian Gas Infrastructure Group, Domgas Alliance, Inpex, Pilot Energy "
INDEPENDENT,Capital Hill Advisory,https://www.capitolhilladv.com/,Glencore
Dentsu,Carat,http://www.carat.com,Alinta Energy
INDEPENDENT,Carlo Ratti Associati,https://carloratti.com/,Eni
INDEPENDENT,CARMA,http://www.carma.com,Saudi Aramco
Interpublic Group,Carmichael Lynch,http://www.carmichaellynch.com,"ConocoPhillips, Xcel Energy"
INDEPENDENT,Cavendish Consulting,http://www.ccvernal.com,"Cadent Gas, Northern Gas Networks"
INDEPENDENT,Chain Reaction,http://www.allages.com,Total Oil
INDEPENDENT,Chudenkbs,https://www.chudenkbs.co.jp/,"Chubu Electric Power Co., JERA"
INDEPENDENT,CJ WORX,http://www.cjworx.com,PTT
INDEPENDENT,CMAX Communications,https://cmaxadvisory.com.au/,APPEA
INDEPENDENT,Connect Public Affairs Ltd,http://www.connectpa.co.uk,"Equinor, Scottish Gas, Shell"
INDEPENDENT,Contentway,http://www.contentway.eu,"Shell, TotalEnergies"
INDEPENDENT,Counsel Communications,http://www.communicationscounsel.com,JERA
INDEPENDENT,Counsel House,http://www.counsel-house.com,Inpex
INDEPENDENT,Creative Cocktail,http://www.cocktailcreative.biz,Technip
INDEPENDENT,Crisis&Comms Co,https://www.crisisandcomms.co/,Hancock Coal
INDEPENDENT,Crowne Associates,https://www.crowneassociates.uk/,"BP, Centrica"
INDEPENDENT,Cullen Communications,http://www.cullencommunications.ie,Applegreen
INDEPENDENT,Cummins and Partners,http://www.cumminsandpartners.nyc,Energy Australia
INDEPENDENT,CyberAgent,http://www.cyberagent.co.jp,"TEPCO Energy Partner Co., Ltd"
INDEPENDENT,D&B Interactive,http://www.dammbierbaum.de,Wintershall
INDEPENDENT,D&P Creative Strategies,http://www.dpcreativestrategies.com,Edison Electric Institute
INDEPENDENT,Daehong Communicatoins,https://www.lotte.co.kr/global/en/business/compDetail.do?compCd=L424,KEPCO
INDEPENDENT,David & Golyat,https://www.davidandgolyat.com/,"SEAOIL Philippines, Inc."
INDEPENDENT,DBFS,http://www.dbfsindia.com,OMV
OMNICOM,DDB,http://www.ddb.com,"Bangchak, Repsol"
OMNICOM,DDB (DDB Canada),https://www.ddb.ca/en/,Canadian Energy Centre
OMNICOM,DDB (DDB Mudra),https://ddbmudragroup.com/,Gulf Oil
OMNICOM,DDB (Tribal Worldwide),https://www.tribalworldwide.co.uk/,ExxonMobil
OMNICOM,DDC Advocacy,http://www.ddcpublicaffairs.com,Chevron
INDEPENDENT,Deloitte Digital,http://www.deloittedigital.com,EnergyAustralia
INDEPENDENT,Demographica,http://www.demographica.co.za,Engen
INDEPENDENT,Dentons (Interel),https://www.dentons.com/en/about-dentons/news-events-and-awards/news/2021/july/dentons-global-advisors-acquires-interel,BP
Dentsu,Dentsu Creative,https://www.dentsucreative.com/,Chevron
Dentsu,Dentsu Creative (dentsu X Thailand),http://www.dx-thailand.com/,PTT
WPP,Design Bridge and Partners,http://www.designbridge.com," CEPSA, Ipiranga "
WPP,Design Bridge and Partners (Superunion),https://www.designbridge.com,Equinor
INDEPENDENT,Designate Group,http://www.designate.com.au,Ampol
INDEPENDENT,Dezenhall Resources,http://www.dezenhall.com,American Fuel & Petrochemicals Manufacturers
INDEPENDENT,Digitect,http://www.digitect.com,Shell
INDEPENDENT,DON Argentina,https://donagencia.com/,Shell
INDEPENDENT,DPG Advisory Solutions,http://www.dpgadvisory.com.au,Wollongong Coal
Publicis,DPZ,https://www.dpz.com/,Petrobras
INDEPENDENT,Dragoman,http://www.consultdragoman.com,Northern Territory Government
INDEPENDENT,Dragon Rouge,http://www.dragonrougebythebay.com,Petronas
INDEPENDENT,Duke & Grace (Springbok Agency),https://www.springbokagency.com/duke-and-grace-becomes-springbok,TotalEnergies
INDEPENDENT,Duma Collective,https://dumacollective.com/,"Engen, TotalEnergies"
INDEPENDENT,Dunico,https://dunico.nl/,TotalEnergies
INDEPENDENT,Edelman,http://www.edelman.com,"Abu Dhabi Future Energy Company (Masdar), Chevron, Sasol, Shell"
INDEPENDENT,Edelman (Edelman South Africa),https://www.africa.edelman.com/,TotalEnergies
INDEPENDENT,Ell Creative,http://www.ellcreative.com,Schlumberger
INDEPENDENT,Entourage,http://www.entourageleads.com,Saudi Aramco
INDEPENDENT,Epoch (Japan),https://epoch.jp/,Inpex
WPP,EssenceMediaCom,http://www.essencemediacom.com,Shell
INDEPENDENT,EssenceMediaCom,https://www.essencemediacom.com/,Shell
INDEPENDENT,Extend,http://www.extend.com,The Ad Network
INDEPENDENT,Fahlgreen Mortine,http://www.fahlgrenmortine.com,Columbia Gas Of Ohio
INDEPENDENT,Faktory Agency,https://www.faktoryagency.com/,Dominion Energy
Interpublic Group,FCB (FCB Kinnect),https://www.fcbkinnect.com/,Indian Oil
Interpublic Group,FCB (FCBArtgroup),https://www.fcbartgroup.com/,TotalEnergies
INDEPENDENT,Feed the Media,http://www.feedmedia.com,Camuzzi
WPP,FGS Global,http://www.finsbury.com,BP
INDEPENDENT,Fifth Ring,http://www.fifthring.com,"Dolphin Drilling, Shell"
INDEPENDENT,Firedog,http://www.firedog.com,Sasol
INDEPENDENT,First Partners,http://first.partners/,Vedanta
OMNICOM,FleishmanHillard,http://www.fleishmanhillard.com,"Repsol, SLB"
INDEPENDENT,Flume,http://www.flumemusic.com,Astron Energy (Chevron)
INDEPENDENT,Forrester Consulting,http://www.forrester.com,Hancock Coal
INDEPENDENT,fri.to,http://www.fri.to,Ale Combust
INDEPENDENT,Frog Connexion,http://www.frogconnexion.com,Technip
INDEPENDENT,FTI Consulting,http://www.fticonsulting.com,"Asia Natural Gas & Energy Association (ANGEA), Anglo American, ExxonMobil, Eurogas, Sasol, Trans Adriatic Pipeline, Uniper, Vermilion Oil and Gas, Warrego Energy"
INDEPENDENT,Fusion5,http://www.fusion5store.com,ADNOC
INDEPENDENT,Geelmuyden Kiese,https://gknordic.com/,"OK Amba, TotalEnergies"
INDEPENDENT,GIGIL,https://www.gigil.co.in/,"SEAOIL Philippines, Inc."
INDEPENDENT,Golden Submarine,https://www.goldensubmarine.com/pl,PGE
INDEPENDENT,Goldmine Advertising,https://www.goldmineltd.com/,Indian Oil
INDEPENDENT,Govstrat,http://www.govstrat.com,Bravus (part of Adani)
INDEPENDENT,GR Connect,https://www.grnconnect.com/,Bowen Coking Coal
OMNICOM,GRACosway,http://www.gracosway.com.au,"AGL Energy, Arrow Energy, BHP, Glencore, Halliburton Energy, Santos"
INDEPENDENT,Granite PR,http://www.granitepr.co.uk,"ABIS Energy, Denholm Energy (formerly Denholm Oilfield)"
INDEPENDENT,Gray,http://www.gray.com,AGL Energy
INDEPENDENT,Greenz,http://www.greeneatsofdallas.com,Raízen
WPP,Grey,https://www.grey.com/,BP
WPP,Grey (Grey India),https://www.grey.com/locations/india,Indian Oil
